ghru_id,Sample collection date,Specimen type,Isolate type,AMK,AMP,FEP,CRO,CIP,COL,GEN,IPM,MEM,TZP,SXT,species,ST,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,virulence_score,rmpA2,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,O_locus
G2UKKS20075,21/04/2025,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST219,-,-,-,-,-,0,-,StrB;StrA*;AadA2*;Aac3-IIa*;Aph3-Ia*,-,-,Qnr-S1;QnrB1?,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-26*,-,-,-,-,1,KL125 (KL114),OL5
G2UKKS20076,22/04/2025,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST219,-,-,-,-,-,0,-,StrB;StrA*;AadA2*;Aac3-IIa*;Aph3-Ia*,-,-,Qnr-S1;QnrB1?,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-26*,-,-,-,-,1,KL125 (KL114),OL5
G2UKKS20077,23/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,S,S,ND,S,S,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CTX-M-15,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,1,KL27,OL4
G2UKKS20078,24/04/2025,Blood,CARBA-R,R,R,R,ND,R,S,S,R,ND,R,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,Aac6-Ib;AadA2*;Aph3-Ia*,-,-,-,-,MphA,CatA1*,-,SulI,-,-,DfrA12,-,TEM-54*,-,-,KPC-3,SHV-11,-,-,-,GyrA-83I;ParC-80I,2,KL107,OL2α.1
G2UKKS20079,25/04/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST111,ybt 15; ICEKp11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL63,OL2α.1
G2UKKS20080,26/04/2025,Blood,CARBA-S,S,R,S,ND,R,S,S,S,ND,S,S,Klebsiella pneumoniae,ST240,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,-,-,-,GyrA-83L,0,KL61,OL2α.1
G2UKKS20081,27/04/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST54,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36*,-,-,-,-,0,KL14,OL2α.1
G2UKKS20082,28/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,R,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,Qnr-S1;QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-54*,SHV-12;CTX-M-15,-,-,SHV-1?,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20083,29/04/2025,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,KL24,OL2α.1
G2UKKS20084,30/04/2025,Blood,CARBA-S,S,R,R,R,S,S,R,S,S,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,-,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,-,OL2α.1
G2UKKS20085,01/05/2025,Blood,CARBA-S,S,R,S,ND,R,S,S,S,S,S,S,Klebsiella pneumoniae,ST253,-,-,-,-,-,0,-,-,-,-,Qnr-S1,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,-,-,-,-,0,KL144,OL2α.1
G2UKKS20086,02/05/2025,Blood,CARBA-S,S,R,S,ND,R,S,S,S,S,S,S,Klebsiella pneumoniae,ST1428,-,-,-,-,-,0,-,-,-,-,Qnr-S1,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL122,OL2α.1
G2UKKS20087,03/05/2025,Blood,CARBA-S,S,R,S,ND,R,S,R,S,S,S,R,Klebsiella pneumoniae,ST307,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,-,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,-,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,0,"KL102 (KL149,KL155)",OL2α.1
G2UKKS20088,04/05/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST17,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,"KL23 (KL18, KL38)",OL2α.1
G2UKKS20089,05/05/2025,Blood,CARBA-S,S,R,R,ND,R,S,S,S,S,S,S,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*,-,-,QnrB1?,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,0,"KL102 (KL149,KL155)",OL2α.1
G2UKKS20090,06/05/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST661-1LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27,-,-,SHV-1?,-,-,-,-,1,KL140,OL2α.1
G2UKKS20091,07/05/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST163,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,-,-,-,-,0,KL113?,OL2α.1
G2UKKS20092,08/05/2025,Blood,CARBA-S,S,R,I,S,S,S,S,S,S,R,R,Klebsiella pneumoniae,ST661-1LV,-,-,-,-,-,0,-,AadA5,-,-,-,-,-,-,-,SulII,-,-,DfrA17,TEM-135,-,SHV-27,-,-,SHV-1?,-,-,-,-,1,KL140,OL2α.1
G2UKKS20093,09/05/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1440-1LV,-,-,-,-,-,0,-,AadA2,-,-,-,-,-,-,-,SulI*,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL11,OL2α.1
G2UKKS20094,10/05/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST36,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-13*,-,-,SHV-1?,-,-,-,-,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20095,11/05/2025,Blood,CARBA-S,ND,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,TetD,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL127 (KL155),OL2α.1
G2UKKS20096,12/05/2025,Blood,CARBA-S,ND,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL127 (KL155),OL2α.1
G2UKKS20097,13/05/2025,Blood,CARBA-R,S,R,R,ND,R,S,S,I,I,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20098,14/05/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST22,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL147 (KL112),OL2α.1
G2UKKS20099,15/05/2025,Blood,CARBA-R,R,R,R,ND,R,S,S,R,R,R,R,Klebsiella pneumoniae,ST258-1LV,ybt 13; ICEKp2,-,-,-,-,1,-,AadA2*;Aac6-Ib;Aph3-Ia*,-,-,-,-,MphA,CatA1*,-,SulI,-,-,DfrA12,-,TEM-54*,SHV-12,-,KPC-2,SHV-1?,-,-,-,GyrA-83I;ParC-80I,2,KL106,OL2α.1
G2UKKS20100,16/05/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,I,S,Klebsiella pneumoniae,ST323,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14?,-,TEM-30*,CTX-M-15,-,-,SHV-187*,-,-,-,-,1,KL21,OL2α.1
G2UKKS20101,17/05/2025,Blood,CARBA-R,S,R,R,ND,R,S,R,R,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20102,18/05/2025,Blood,CARBA-R,S,R,R,ND,R,S,R,I,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-54*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20103,19/05/2025,Blood,CARBA-R,S,R,R,ND,R,S,R,I,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-54*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20104,20/05/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1428,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL122,OL2α.1
G2UKKS20105,21/05/2025,Blood,CARBA-S,S,R,R,ND,S,S,S,S,ND,S,R,Klebsiella pneumoniae,ST280-2LV,-,-,-,-,-,0,-,StrB;StrA*,-,-,-,-,-,-,-,SulII,-,-,DfrA14,-,TEM-30*,SHV-27;CTX-M-15,-,-,SHV-1?,-,-,-,-,1,"KL23 (KL18, KL38)",OL2α.1
G2UKKS20106,22/05/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,R,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,1,KL27,OL4
G2UKKS20107,23/05/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,R,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,1,KL27,OL4
G2UKKS20108,24/05/2025,Blood,CARBA-S,S,R,S,ND,R,S,S,S,ND,S,S,Klebsiella pneumoniae,ST23,ybt 1; ICEKp10,clb 2,iuc 2,iro 3,rmpA,5,-,-,-,-,Qnr-S1,-,-,-,-,-,-,-,-,-,TEM-30*,-,-,-,SHV-190*,-,-,-,-,0,KL1,OL2α.2
G2UKKS20109,25/05/2025,Blood,CARBA-S,S,R,S,ND,I,S,S,S,ND,S,S,Klebsiella pneumoniae,ST321,-,-,-,-,-,0,-,-,-,-,Qnr-S1,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL3,OL2α.2
G2UKKS20110,26/05/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST17,ybt 15; ICEKp11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL25,OL2α.1
G2UKKS20111,27/05/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,R,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrA*;AadA2*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,TEM-54*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20112,28/05/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST37,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-77*,-,-,-,-,0,KL12,OL2α.1
G2UKKS20113,29/05/2025,Blood,CARBA-S,R,R,S,ND,R,S,R,S,ND,I,S,Klebsiella pneumoniae,ST101,ybt 9; ICEKp3,-,-,-,-,1,-,ArmA,-,-,-,-,MsrE;MphE*,-,-,-,-,-,-,-,TEM-54*,-,-,-,SHV-28*,-,-,-,GyrA-83Y;GyrA-87N;ParC-80I,0,KL17,OL2α.1
G2UKKS20114,30/05/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,S,R,Klebsiella pneumoniae,ST13,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA;TetD,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-187*?,-,-,-,-,1,KL3,OL2α.2
G2UKKS20115,31/05/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST35,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-33,-,-,-,-,0,KL22/KL37,OL2α.1
G2UKKS20116,01/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST35,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-33,-,-,-,-,0,KL22/KL37,OL2α.1
G2UKKS20117,02/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST276-2LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL55,OL2α.1
G2UKKS20118,03/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST276-2LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL55,OL2α.1
G2UKKS20119,04/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,R,Klebsiella pneumoniae,ST17,-,-,-,-,-,0,-,AadA1-pm*?,-,-,-,-,-,-,-,SulI*,-,-,DfrA15b*,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL55,OL2α.1
G2UKKS20120,05/06/2025,Blood,CARBA-R,R,R,R,R,R,S,I,R,R,R,I,Klebsiella pneumoniae,ST512,ybt 9; ICEKp3,-,-,-,-,1,-,Aac6-Ib;AadA2,-,-,-,-,-,-,-,SulI,-,-,-,-,TEM-54*,-,-,KPC-3,SHV-11,-,-,-,GyrA-83I;ParC-80I,2,KL107,OL2α.1
G2UKKS20121,06/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST17,ybt 15; ICEKp11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL25,OL2α.1
G2UKKS20122,07/06/2025,Blood,CARBA-S,S,R,S,ND,I,S,S,S,S,S,R,Klebsiella pneumoniae,ST111,-,-,-,-,-,0,-,AadA1-pm*?,-,-,-,-,-,-,-,SulI,TetA,-,DfrA1*,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL63,OL2α.1
G2UKKS20123,08/06/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,KL24,OL2α.1
G2UKKS20124,09/06/2025,Blood,CARBA-S,S,R,I,ND,R,S,S,S,S,R,S,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,AadA1-pm*,-,-,Qnr-S1,-,-,CmlA5,Arr2,SulIII,TetD,-,-,TEM-57*,-,SHV-12*,-,-,SHV-1?,-,-,-,-,1,KL24,OL2α.1
G2UKKS20125,10/06/2025,Blood,CARBA-R,R,R,R,ND,R,S,R,R,R,R,S,Klebsiella pneumoniae,ST258,ybt 13; ICEKp2,-,-,-,-,1,-,AadB;Aac6-Ib,MgrB-66%,-,QnrB5*,-,-,-,-,-,-,-,-,-,TEM-54*,SHV-12,-,KPC-2,SHV-1?,-,-,-,GyrA-83I;ParC-80I,3,KL106,OL2α.1
G2UKKS20126,11/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST101,ybt 9; ICEKp3,-,-,-,-,1,-,ArmA,-,-,-,-,MsrE;MphE*,-,-,-,-,-,-,-,TEM-54*,-,-,-,SHV-28*,-,-,-,GyrA-83Y;GyrA-87N;ParC-80I,0,KL17,OL2α.1
G2UKKS20127,12/06/2025,Blood,CARBA-S,I,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,-,OL2α.1
G2UKKS20128,13/06/2025,Blood,CARBA-S,S,R,S,S,I,S,S,S,S,S,S,Klebsiella pneumoniae,ST321,-,-,-,-,-,0,-,-,-,-,Qnr-S1,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL3,OL2α.2
G2UKKS20129,14/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1012,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TEM-30*,-,-,-,SHV-172*,-,-,-,-,0,KL24,OL2α.1
G2UKKS20130,15/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST469-1LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-13*,-,-,SHV-1?,-,-,-,-,1,-,OL2α.1
G2UKKS20131,16/06/2025,Blood,CARBA-S,S,R,R,ND,R,S,S,S,ND,R,R,Klebsiella pneumoniae,ST307-1LV,-,-,-,-,-,0,-,StrA*;AadA2*;Aph3-Ia*,-,-,Qnr-S1,-,MphA,-,-,SulII;SulI,-,-,DfrA12,-,TEM-54*,CTX-M-15;SHV-12,-,-,SHV-1?,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20132,17/06/2025,Blood,CARBA-S,S,R,R,ND,R,S,S,S,ND,R,S,Klebsiella pneumoniae,ST219,-,-,-,-,-,0,-,StrB*;StrA*,-,-,Qnr-S1,-,-,-,-,SulII,-,-,-,-,TEM-54*,CTX-M-15,-,KPC-2,SHV-26*,-,-,-,-,2,KL125 (KL114),OL5
G2UKKS20133,18/06/2025,Blood,CARBA-R,R,R,R,ND,R,S,R,R,ND,R,R,Klebsiella pneumoniae,ST101,ybt 9; ICEKp3,-,-,-,-,1,-,StrA*;ArmA;AadA2*;Aph3-Ia*,-,-,Qnr-S1,-,MsrE;MphE*;MphA,-,-,SulII;SulI,-,-,DfrA12,-,TEM-54*,-,-,KPC-2,SHV-28*,-,-,-,GyrA-83Y;GyrA-87N;ParC-80I,2,KL17,OL2α.1
G2UKKS20134,19/06/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST1440-1LV,-,-,-,-,-,0,-,AadA2,-,-,-,-,-,-,-,SulI*,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL11,OL2α.1
G2UKKS20135,20/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1294-3LV,ybt 9; ICEKp3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-65,-,-,-,-,0,KL39 (KL13),OL2α.1
G2UKKS20136,21/06/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST882,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-101*,-,-,SHV-1?,-,-,-,-,1,KL16,OL2α.1
G2UKKS20137,22/06/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,S,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,1,KL27,OL4
G2UKKS20138,23/06/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST307-1LV,-,-,-,-,-,0,-,AadA2*;StrA*;Aph3-Ia*,-,-,Qnr-S1,-,MphA,-,-,SulI;SulII,-,-,DfrA12,-,TEM-54*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20139,24/06/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,S,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20140,25/06/2025,Blood,CARBA-S,S,R,S,S,S,S,R,S,S,S,S,Klebsiella pneumoniae,ST290,ybt 14; ICEKp5,-,-,-,-,1,-,Aac3-VIa*;AadA1-pm*?,-,-,-,-,-,-,-,SulI,TetB*,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL21,OL4
G2UKKS20141,26/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST278,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27,-,-,SHV-1?,-,-,-,-,1,KL136,OL2α.1
G2UKKS20142,27/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST584,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL38,OL2α.1
G2UKKS20143,28/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST54,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36*,-,-,-,-,0,KL14,OL2α.1
G2UKKS20144,29/06/2025,Blood,CARBA-R,S,R,R,R,R,S,R,R,R,R,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,Aac3-IIa*;AadA2*;StrB;StrA*;Aph3-Ia*,-,-,Qnr-S1;QnrB1?,-,MphA,CatB4,-,SulI;SulII,TetA,-,DfrA12,-,TEM-54*,CTX-M-15,-,KPC-3,SHV-1?,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20145,30/06/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST115-2LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27,-,-,SHV-1?,-,-,-,-,1,KL116,OL2α.1
G2UKKS20146,01/07/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST950,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL7,OL2α.1
G2UKKS20147,02/07/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST950,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL7,OL2α.1
G2UKKS20148,03/07/2025,Blood,CARBA-R,S,R,R,R,R,S,R,I,R,R,R,Klebsiella pneumoniae,ST307,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20149,04/07/2025,Blood,CARBA-R,S,R,R,R,R,S,R,I,R,R,R,Klebsiella pneumoniae,ST307,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20150,05/07/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,R,Klebsiella pneumoniae,ST1418,ybt 10; ICEKp4,-,-,-,-,1,-,StrB*;StrA*,-,-,-,-,-,CatA2*,-,SulII,TetD,-,DfrA14,-,,-,-,-,SHV-26*,-,-,-,-,0,-,OL2α.1
